1,1,1,1,1	0.0009070604
1,1,1,1,2	0.0006219843
1,1,1,1,3	0.0008213789
1,1,1,1,4	0.0008044542
1,1,1,2,1	0.0006738163
1,1,1,2,2	0.0004950487
1,1,1,2,3	0.0001724208
1,1,1,2,4	0.0006769897
1,1,1,3,1	0.0001697763
1,1,1,3,2	0.0001496782
1,1,1,3,3	0.0001623717
1,1,1,3,4	0.0001787676
1,1,1,4,1	0.0004363410
1,1,1,4,2	0.0005791435
1,1,1,4,3	0.0007880583
1,1,1,4,4	0.0007700758
1,1,2,1,1	0.0006997323
1,1,2,1,2	0.0007235327
1,1,2,1,3	0.0009774039
1,1,2,1,4	0.0006616517
1,1,2,2,1	0.0007293506
1,1,2,2,2	0.0006595361
1,1,2,2,3	0.0002718537
1,1,2,2,4	0.0006140508
1,1,2,3,1	0.0001718919
1,1,2,3,2	0.0002586312
1,1,2,3,3	0.0002332441
1,1,2,3,4	0.0001882878
1,1,2,4,1	0.0003802778
1,1,2,4,2	0.0008123876
1,1,2,4,3	0.0011582871
1,1,2,4,4	0.0007944051
1,1,3,1,1	0.0008663353
1,1,3,1,2	0.0007758937
1,1,3,1,3	0.0014237940
1,1,3,1,4	0.0006812209
1,1,3,2,1	0.0010826546
1,1,3,2,2	0.0009795195
1,1,3,2,3	0.0004611992
1,1,3,2,4	0.0009996176
1,1,3,3,1	0.0002533422
1,1,3,3,2	0.0003400815
1,1,3,3,3	0.0004146562
1,1,3,3,4	0.0002157905
1,1,3,4,1	0.0004791818
1,1,3,4,2	0.0009319186
1,1,3,4,3	0.0013925890
1,1,3,4,4	0.0008044542
1,1,4,1,1	0.0006410246
1,1,4,1,2	0.0005796724
1,1,4,1,3	0.0006886255
1,1,4,1,4	0.0006949722
1,1,4,2,1	0.0007341107
1,1,4,2,2	0.0005817880
1,1,4,2,3	0.0001835277
1,1,4,2,4	0.0007393997
1,1,4,3,1	0.0001496782
1,1,4,3,2	0.0001629006
1,1,4,3,3	0.0001449181
1,1,4,3,4	0.0001401580
1,1,4,4,1	0.0004278786
1,1,4,4,2	0.0006939144
1,1,4,4,3	0.0008943669
1,1,4,4,4	0.0008213789
1,2,1,1,1	0.0007245905
1,2,1,1,2	0.0008361881
1,2,1,1,3	0.0012355062
1,2,1,1,4	0.0007817115
1,2,1,2,1	0.0011323711
1,2,1,2,2	0.0008409481
1,2,1,2,3	0.0003744599
1,2,1,2,4	0.0010673166
1,2,1,3,1	0.0002337730
1,2,1,3,2	0.0003252724
1,2,1,3,3	0.0003792200
1,2,1,3,4	0.0002914229
1,2,1,4,1	0.0003956159
1,2,1,4,2	0.0006325623
1,2,1,4,3	0.0011424201
1,2,1,4,4	0.0007489199
1,2,2,1,1	0.0008044542
1,2,2,1,2	0.0009271586
1,2,2,1,3	0.0014914929
1,2,2,1,4	0.0006754030
1,2,2,2,1	0.0011688650
1,2,2,2,2	0.0008636908
1,2,2,2,3	0.0005987128
1,2,2,2,4	0.0009065315
1,2,2,3,1	0.0003305614
1,2,2,3,2	0.0005606321
1,2,2,3,3	0.0006679984
1,2,2,3,4	0.0002602179
1,2,2,4,1	0.0003485439
1,2,2,4,2	0.0009414388
1,2,2,4,3	0.0012423819
1,2,2,4,4	0.0007425731
1,2,3,1,1	0.0001428025
1,2,3,1,2	0.0002581023
1,2,3,1,3	0.0004633148
1,2,3,1,4	0.0001549672
1,2,3,2,1	0.0004167718
1,2,3,2,2	0.0005310138
1,2,3,2,3	0.0004495635
1,2,3,2,4	0.0004141273
1,2,3,3,1	0.0001237622
1,2,3,3,2	0.0003517173
1,2,3,3,3	0.0003570063
1,2,3,3,4	0.0001232333
1,2,3,4,1	0.0001126553
1,2,3,4,2	0.0003517173
1,2,3,4,3	0.0005489963
1,2,3,4,4	0.0001972790
1,2,4,1,1	0.0006907411
1,2,4,1,2	0.0007166571
1,2,4,1,3	0.0011614605
1,2,4,1,4	0.0007695469
1,2,4,2,1	0.0013576817
1,2,4,2,2	0.0012085324
1,2,4,2,3	0.0004733639
1,2,4,2,4	0.0014571146
1,2,4,3,1	0.0001956923
1,2,4,3,2	0.0003247435
1,2,4,3,3	0.0004839419
1,2,4,3,4	0.0002358886
1,2,4,4,1	0.0005008666
